row_id,publishers
164928,Arclight Games
164928,Arrakis Games
164928,Baldar
164928,BGA Plus
164928,Capstone Games
164928,Cranio Creations
164928,Engames
164928,GaGa Games
164928,Games7Days
164928,Korea Boardgames
164928,Matagot
164928,Meeple
164928,MeepleBR
164928,Surfin' Meeple China
164928,"Swan Panasia Co., Ltd."
164928,Tasty Minstrel Games
164928,White Goblin Games
192135,Chip Theory Games
192135,asmodee
192135,Dice Realm
192135,Fox in the Box
192135,Frosted Games
192135,Gameland 游戏大陆
192135,Lavka Games
192135,Lucky Duck Games
192135,Portal Games
192135,Reflexshop
192135,SD Games
266192,Stonemaier Games
266192,999 Games
266192,Angry Lion Games
266192,Arclight Games
266192,asmodee
266192,Automa Factory
266192,Bluebird Games
266192,Brain Games
266192,Delta Vision Publishing
266192,Divercentro
266192,Feuerland Spiele
266192,Ghenos Games
266192,Green Elephant Games
266192,Grok Games
266192,Kaissa Chess & Games
266192,Korea Boardgames
266192,Lautapelit.fi
266192,Lavka Games
266192,Ludofy Creative
266192,Maldito Games
266192,Matagot
266192,MINDOK
266192,MIPL
266192,NeoTroy Games
266192,Rebel Sp. z o.o.
266192,Regatul Jocurilor
266192,Siam Board Games
266192,Surfin' Meeple China
266192,Ігромаг
96848,WizKids (I)
96848,asmodee
96848,Giochi Uniti
96848,Intrafin Games
96848,Lacerta
96848,NECA
96848,Pegasus Spiele
96848,Rexhry
251247,Cranio Creations
251247,CrowD Games
251247,Delta Vision Publishing
251247,Feuerland Spiele
251247,Galápagos Jogos
251247,Game Harbor
251247,Intrafin Games
251247,Korea Boardgames
251247,Maldito Games
251247,Portal Games
251247,sternenschimmermeer
251247,テンデイズゲームズ (TendaysGames)
251247,TLAMA games
251247,WoodCat
321608,Hegemonic Project Games
321608,Board Game Rookie
321608,CMON Global Limited
321608,Giant Roc
321608,Lavka Games
321608,"MYBG Co., Ltd."
321608,Portal Games
199792,Starling Games (II)
199792,Abraxas
199792,Arclight Games
199792,CMON Global Limited
199792,Fantasmagoria
199792,Galápagos Jogos
199792,Gameology (Gameology Romania)
199792,GémKlub Kft.
199792,Hobby World
199792,Kaissa Chess & Games
199792,Maldito Games
199792,Matagot
199792,MIPL
199792,Pegasus Spiele
199792,Rebel Sp. z o.o.
199792,Rexhry
199792,Spilbræt.dk
199792,Tabletop Tycoon Inc.
199792,Tycoon Games
199792,White Goblin Games
199792,YOKA Games
199792,Ігромаг
324856,KOSMOS
324856,999 Games
324856,Devir
324856,Galakta
324856,Giochi Uniti
324856,GP Games
324856,IELLO
324856,Kaissa Chess & Games
324856,Korea Boardgames
324856,MINDOK
324856,MIPL
324856,Piatnik Distribution
324856,"Swan Panasia Co., Ltd."
324856,Thames & Kosmos
324856,Zvezda
183394,Stonemaier Games
183394,Albi
183394,Angry Lion Games
183394,Arclight Games
183394,Board Game Rookie
183394,Delta Vision Publishing
183394,Feuerland Spiele
183394,Ghenos Games
183394,Kilogames
183394,Korea Boardgames
183394,Lavka Games
183394,Ludofy Creative
183394,Maldito Games
183394,Matagot
183394,PHALANX
183394,Regatul Jocurilor
183394,Surfin' Meeple China
183394,Tower Tactic Games
284378,Eagle-Gryphon Games
284378,Arclight Games
284378,Delta Vision Publishing
284378,Editions Philibert
284378,Geekach LLC
284378,Giochix.it
284378,hobbity.eu
284378,Korea Boardgames
284378,Lavka Games
284378,Maldito Games
284378,Skellig Games
284378,TLAMA games
284378,YOKA Games
521,(Public Domain)
521,(Unknown)
521,alfaset
521,BrownCastle Games
521,Carrom Company
521,Cogitate Games
521,"Coleco Industries, Inc."
521,Crokinole World
521,Felsberger
521,Ferti
521,Gameland 游戏大陆
521,Gerhards Spiel und Design
521,Hilinski Brothers
521,"Industries Prince, Inc."
521,John Jaques of London
521,Korea Boardgames
521,Let's Play Games! LLC
521,M. B. Ross
521,Mayday Games
521,Mitra
521,Mr. Crokinole
521,Muzzies' Country Lane Woodshop
521,Noris Spiele
521,Tischlerei Knels & Jeske GmbH
521,Tracey Boards
521,Willard
521,Wooden Games Crokinole
521,Wooden You Know Crokinole Boards
366013,Days of Wonder
366013,ADC Blackfire Entertainment
366013,CoolPlay
366013,Galápagos Jogos
366013,GémKlub Kft.
366013,GoKids 玩樂小子
366013,Hobby Japan
366013,Hobby World
366013,Kaissa Chess & Games
366013,Korea Boardgames
366013,Lord of Boards
285774,Fantasy Flight Games
285774,ADC Blackfire Entertainment
285774,Kilogames
285774,Korea Boardgames
285774,NeoTroy Games
175914,Lucky Duck Games
175914,Splotter Spellen
175914,Angry Lion Games
175914,Ediciones MasQueOca
175914,Fox in the Box
175914,Galápagos Jogos
175914,MINDOK
175914,MS Edizioni
175914,"New Games Order, LLC"
175914,One Moment Games
175914,Portal Games
390092,Days of Wonder
390092,Galápagos Jogos
390092,GoKids 玩樂小子
390092,Hobby Japan
390092,Hobby World
390092,Korea Boardgames
390092,Rebel Sp. z o.o.
247763,Delicious Games
247763,Arrakis Games
247763,Atalia
247763,Games7Days
247763,GémKlub Kft.
247763,Hobby World
247763,Intrafin Games
247763,MeepleBR
247763,MINDOK
247763,MS Edizioni
247763,"MYBG Co., Ltd."
247763,Pegasus Spiele
247763,Portal Games
247763,Rio Grande Games
247763,sternenschimmermeer
247763,数寄ゲームズ (Suki Games)
365717,Dire Wolf
365717,Arclight Games
365717,Broadway Toys LTD
365717,Devir
365717,Geekach LLC
365717,Korea Boardgames
365717,Lucrum Games
365717,Origames
365717,Reflexshop
365717,Rexhry
365717,Schwerkraft-Verlag
365717,Tabletop KZ
256960,Wehrlegig Games
256960,2Tomatoes Games
256960,CrowD Games
256960,Fox in the Box
256960,Galakta
256960,Galápagos Jogos
256960,Giochix.it
256960,Korea Boardgames
256960,Spielworxx
256960,テンデイズゲームズ (TendaysGames)
256960,YOKA Games
253344,CMON Global Limited
253344,Guillotine Games
253344,Arclight Games
253344,asmodee
253344,BoardM Factory
253344,Delta Vision Publishing
253344,Edge Entertainment
253344,Galápagos Jogos
253344,Game Harbor
253344,Hobby World
253344,Portal Games
253344,Rexhry
253344,Ігромаг
414317,Libellud
414317,ADC Blackfire Entertainment
414317,CoolPlay
414317,CrowD Games
414317,Fjórir Ásar
414317,Galápagos Jogos
414317,GémKlub Kft.
414317,Hobby Japan
414317,Kaissa Chess & Games
414317,Korea Boardgames
414317,Rebel Sp. z o.o.
414317,Ігромаг
383179,Capstone Games
383179,Feuerland Spiele
383179,Cranio Creations
383179,Geekach LLC
383179,GémKlub Kft.
383179,Grok Games
383179,IGAMES
383179,Korea Boardgames
383179,Maldito Games
383179,Portal Games
383179,Super Meeple
383179,"Swan Panasia Co., Ltd."
383179,テンデイズゲームズ (TendaysGames)
383179,White Goblin Games
3076,alea
3076,Ravensburger AG
3076,Albi
3076,Devir
3076,Filosofia Éditions
3076,Kaissa Chess & Games
3076,Lautapelit.fi
3076,MINDOK
3076,Rio Grande Games
3076,Stratelibri
3076,"Swan Panasia Co., Ltd."
3076,Tilsit
3076,VAKKO
184267,Eagle-Gryphon Games
184267,Angry Lion Games
184267,Arclight Games
184267,Delta Vision Publishing
184267,Giochix.it
184267,hobbity.eu
184267,Korea Boardgames
184267,Lavka Games
184267,Maldito Games
184267,Mosaico Jogos
184267,Skellig Games
184267,TLAMA games
184267,YOKA Games
295947,Flatout Games
295947,Alderac Entertainment Group
295947,Boardgame Mall
295947,CMON Global Limited
295947,CrowD Games
295947,Delirium Games
295947,Fantasmagoria
295947,Gaming Library
295947,GémKlub Kft.
295947,Grok Games
295947,Hid Konem (Хід Конем)
295947,Kaissa Chess & Games
295947,KOSMOS
295947,Little Rocket Games
295947,Lord of Boards
295947,Lucky Duck Games
295947,MINDOK
295947,MIPL
295947,NeoTroy Games
295947,Regatul Jocurilor
295947,Salta da Caixa
295947,Terra Publica
295947,Tower Tactic Games
295947,White Goblin Games
295947,株式会社ケンビル (KenBill)
314040,Z-Man Games
314040,Galápagos Jogos
314040,GémKlub Kft.
314040,Hobby Japan
314040,Korea Boardgames
314040,Lifestyle Boardgames Ltd
314040,Rebel Sp. z o.o.
185343,Mindclash Games
185343,Albi
185343,Albi Polska
185343,CrowD Games
185343,Engames
185343,Games Warehouse
185343,Ghenos Games
185343,Grok Games
185343,Korea Boardgames
185343,Maldito Games
185343,"MYBG Co., Ltd."
185343,Portal Games
185343,Quality Beast
185343,Reflexshop
185343,Skellig Games
185343,Super Meeple
185343,YOKA Games
102794,Lookout Games
102794,999 Games
102794,CrowD Games
102794,Devir
102794,Filosofia Éditions
102794,Funforge
102794,Galápagos Jogos
102794,Gemenot
102794,Hobby Japan
102794,HomoLudicus
102794,Korea Boardgames
102794,Lacerta
102794,Ludofy Creative
102794,Mayfair Games
102794,MINDOK
102794,"Swan Panasia Co., Ltd."
102794,uplay.it edizioni
251661,Shadowborne Games
251661,Hobby World
251661,Rawstone
31260,Lookout Games
31260,999 Games
31260,Brain Games
31260,Compaya.hu: Gamer Café Kft.
31260,Devir
31260,Filosofia Éditions
31260,Funforge
31260,Hobby Japan
