row_id,designers
379629,Thomas Dupont
381297,Jason Hager
381297,Darren Reckner
198773,Vlaada Chvátil
316412,Maxime Rambourg
316412,Théo Rivière
128671,Aaron Dill
128671,John Kovaleski
128671,Sean Sweigart
298069,John D. Clair
31594,Stefan Feld
215311,Rob Daviau
215311,Justin D. Jacobson
215311,Wolfgang Kramer
21348,Alan R. Moon
256226,Michael Kiesling
328565,Unai Rubio
356033,Paolo Mori
381248,Adam Kwapiński
33160,Carl de Visser
33160,Jarratt Gray
34219,Steve Finn
420087,Eric Olsen
292375,Kamil 'Sanex' Cieśla
292375,Robert Plesowicz
292375,Łukasz Włodarczyk
293141,Richard Garfield
1,Karl-Heinz Schmiel
166669,Andreas Seyfarth
138161,Aaron Dill
138161,John Kovaleski
138161,Sean Sweigart
265736,Peter McPherson
151347,"D. Brad Talton, Jr."
150,Jean du Poël
144592,Etienne Espreman
262543,Alex Hague
262543,Justin Vickers
262543,Wolfgang Warsch
325635,Noah Cohen
325635,Rob Daviau
325635,Justin D. Jacobson
325635,Brian Neff
71,Francis Tresham
220,Reiner Knizia
355093,Ross Arnold
355093,Vladimír Suchý
156858,Philip duBarry
182134,Dominic Crapuchettes
182134,Dmitry Knorre
182134,Sergey Machin
503,Reiner Knizia
66188,Wolfgang Panning
66188,Marco Ruskowski
66188,Marcel Süßelbeck
338834,Johannes Sich
229220,Kristian Amundsen Østby
229220,Eilif Svensson
100901,Kevin Lanzing
186751,Benoit Vogt
17392,Ed Beach
353288,Charlie Bink
170771,Simone Romano
170771,Nunzio Surace
251658,Steven Aramini
251658,Danny Devine
251658,Paul Kluka
27162,Andrea Chiarvesio
27162,Luca Iennaco
11,Uwe Rosenberg
54625,Richard Halliwell
154809,Nuno Bizarro Sentieiro
154809,Paulo Soledade
18833,Reiner Knizia
18833,Eric M. Lang
18833,Christian T. Petersen
55670,Stefan Feld
204305,Suzanne Goldberg
204305,Gary Grady
204305,Jérôme Ropert
62222,Richard Borg
192153,Matt Leacock
192153,Chuck D. Yager
12942,Thorsten Gimmler
161614,Brett Sobol
161614,Seth Van Orden
158899,Christophe Raimbault
144189,Mark Herman
144189,Volko Ruhnke
124708,Jerry Hawthorne
40765,Christian Marcussen
404431,Germán P. Millán
216600,Joseph Z. Chen
216600,Justin Faulkner
359438,Viktor Kobilke
359438,Alexander Pfister
205398,Bruno Faidutti
264241,Trevor Benjamin
264241,Brett J. Gilbert
307002,Paul Abrahams
307002,Luke Badger
307002,Andy Richdale
295564,Rob Daviau
295564,Justin D. Jacobson
383607,Dani Garcia
175095,Hermann Luttmann
63628,Brandon Tibbetts
290359,Trevor Benjamin
290359,David Thompson (I)
96913,Matthias Cramer
11170,Stephen Baker
11170,Rob Daviau
11170,Craig Van Ness
269144,Benjamin Schwer
36932,Croc
121,Bill Eberle
121,Jack Kittredge
121,Peter Olotka
256952,Annick Lobet
215341,Mike Elliott
215341,Bryan Reese
215341,Mark Wootton
243,Don Greenwood
283393,Ivan Tuzovsky
66362,Matthias Cramer
353545,Matthew Dunstan
239942,Marco Montanaro
422732,Christian Kudahl
422732,Laura Kudahl
176396,François Gandon
293296,Marc André
79828,Martin Wallace
478,Bruno Faidutti
169427,Clayton Helme
169427,Brooklynn Lundberg
169427,Brenna Moncur
169427,Ian Tate
194607,John D. Clair
43570,Friedemann Friese
15062,Bruno Cathala
15062,Serge Laget
256730,Ryan Courtney
290236,Jeff Chin
290236,Andrew Nerger
180974,Stefano Castelli
180974,Andrea Crespi
180974,Lorenzo Silva
98778,Antoine Bauza
20437,James Ernest
20437,Mike Selinker
270844,Joanna Kijanka
270844,Ignacy Trzewiczek
274960,Molly Johnson
274960,Robert Melvin
274960,Shawn Stankewich
5404,Reiner Knizia
226522,Inka Brand
226522,Markus Brand
136063,Matt Leacock
340466,Tony Fanchi
340466,Corey Konieczka
233312,Jerry Hawthorne
137408,Stefan Feld
162082,Sébastien Dujardin
25417,Richard Borg
21790,Andreas Seyfarth
21790,Karen Seyfarth
157969,Sérgio Halaban
157969,André Zatz
193042,Jay Cormier
193042,Sen-Foong Lim
6249,Dirk Henn
150658,Matt Leacock
83330,Corey Konieczka
13,Klaus Teuber
266830,Gavin Birnbaum
240196,Rob Daviau
240196,Noah Cohen
240196,JR Honeycutt
240196,Ryan Miller
240196,Brian Neff
240196,Andrew Veen
348450,Gerard Ascensi
348450,Ferran Renalias
371330,Dave Beck
371330,Abe Burson
371433,Jeffrey CCH
191862,Phil Walker-Harding
17226,Kevin Wilson
336794,Vlaada Chvátil
406652,Michael Yang
117959,Rüdiger Dorn
318009,Brian Lewis
318009,David McGregor
318009,Marissa Misura
105134,Rob Daviau
105134,Chris Dupuis
712,Jervis Johnson
245654,Hjalmar Hach
245654,Lorenzo Silva
156009,Alexander Pfister
284435,Uwe Rosenberg
284435,Corné van Moorsel
232414,Nick Bentley
