bgg_id,best,recommended,not_recommended
306040,4,2,1
258036,6,3,1
368061,5,4,2
42776,4,1,4+
155703,4,3,1
180593,4,2,4+
107529,4,3,1
171499,3,2,1
326494,2,3,4+
1353,6,4,1
24508,2,3,1
361545,3,2,8+
204472,4,2,6+
3685,2,1,2+
270239,4,3,5+
174785,5,4,1
233247,4,2,1
300905,6,5,1
444481,2,4,4+
209778,4,3,1
100423,4,2,8
424981,4,3,4+
316624,4,3,1
306881,2,3,4+
169255,2,3,1
283864,4,2,8+
3201,2,2,1
300300,2,1,4+
21763,2,2,1
205359,2,2+,1
266164,4,2,1
163839,4,3,1
202670,4,3,1
214880,4,3,1
218603,3,2,1
163166,6,4,1
346703,4,3,1
338957,2,1,2+
296912,3,2,1
212445,2,1,2+
121408,3,2,1
69789,2,3,4+
132018,3,1,3+
279613,2,1,6+
193558,3,2,1
29603,1,1+,1+
2955,4,3,1
113294,4,2,5+
254708,2,1,4+
283863,2,3,4+
249381,4,3,1
422541,1,2,2+
242639,4,3,1
220517,4,2,1
1513,5,4,2
434906,2,2+,1
148729,1,1+,1+
284760,3,2,1
88,4,2,1
180511,3,2,1
231581,3,2,4+
357873,3,2,4+
301255,3,2,4+
318560,3,2,1
183840,2,3,4+
123540,4,3,1
198953,3,2,1
267609,6,10,1
71721,1,2,6+
167400,2,4,1
241590,4,2,1
331787,2,3,4+
358320,2,1,4+
30380,4,3,1
58281,2,4,1
119432,4,2,5+
394106,2,1,4+
363307,2,1,4+
1465,4,6,1
7717,2,2,1
156336,1,2,2+
50750,4,3,1
244608,3,1,4+
367518,1,3,4+
20100,7,4,2
299169,4,3,1
168584,4,3,1
373600,3,2,5+
213893,2,4,1
154825,4,2,1
257501,2,2+,1
45,6,4,1
280480,3,2,1
183562,2,2+,1
238799,3,2,4+
358737,2,1,4+
70512,4,2,4+
126792,4,2,1
146278,2,3,1
483,7,6,1
203416,2,3,5
270970,3,2,1
143741,6,5,3
165401,2,1,2+
256788,6,5,1
299684,4,2,1
351817,4,1,6+
281442,2,3,4
303731,2,1,4+
316546,2,3,4+
20963,5,4,1
223770,4,3,7
232219,2,3,1
121288,6,4,2
158435,5,4,2
255692,4,3,5+
2453,4,2,1
143515,3,2,1
15512,6,4,1
134726,2+,2,1
447243,2,2+,1
441696,2,4,5+
40628,2,3,1
73761,3,2,5+
372559,2,4,4+
11825,2,1,2+
168435,5,3,2
72321,4,5,5+
242574,4,2,1
314503,2,4,4+
382843,3,4,4+
407297,2,3,5+
393325,3,4,1
264052,2,3,4+
226320,4,2,6+
244331,4,2,1
352418,1,2,4+
342444,4,2,1
21882,3,2,1
253499,4,3,1
16747,4,3,1
393672,1,1+,1+
241724,3,2,5+
162007,4,2,1
51,4,2,1
65532,4,2,4+
244228,2,2,1
218333,3,2,1
387780,3,2,4+
155624,3,2,1
276498,2,1,1
173064,1,2,5+
87890,4,2,1
181521,4,1,4+
313889,1,1+,1+
8125,5,4,2
300877,3,4,5+
15364,5,3,1
393429,4,2,5+
169654,4,3,1
150997,4,2,4+
160495,4,2,1
22345,4,2,1
385331,2,4,4+
68425,3,2,1
214029,3,1,4+
9823,2,1,2+
332290,2,3,4+
198740,4,3,1
73171,2,4,1
214887,3,2,4+
181687,3,2,4+
220520,2,1,2+
204516,2,3,1
256382,3,2,6
251678,3,2,6+
200147,4,2,1
338760,4,2,1
239472,3,2,4+
47185,2,2+,1
116998,3,4,5+
218121,3,2,4+
31563,3,2,1
256570,3,1,4+
359970,8,2,3
201825,3,2,4+
294612,2,3,6+
198830,4,3,2
231218,1,1+,1+
271319,5,3,1
434367,4,2,4+
3307,5,3,1
254386,4,3,1
161417,4,3,1
249277,4,2,1
285984,4,3,4+
156943,4,2,1
194879,5,3,1
179172,3,2,1
234477,4,3,1
203417,2,1,6
55600,3,2,1
387378,4,3,1
171273,4,2,5+
354544,2,2+,1
277700,3,2,4+
43528,4,3,1
402676,4,3,1
175117,5,4,2
393333,3,2,4+
377470,2,1,1
272739,3,1,4+
131260,4,2,1
329845,5,4,1
162286,2,3,1
281549,3,2,1
2163,2,2+,1
217780,4,2,1
170416,4,3,5+
270314,3,2,1
131287,4,3,1
173442,5,3,1
