row_id,type,name,min_players,max_players,playingtime,minimum_age,release_year,average_rating,num_of_ratings,weight,num_of_weights,bayes_average,std_deviation,language_dependency,owned,trading,wanting,wishing,rank_boardgame
346902,boardgameexpansion,Unsurmountable: Dual Peaks,1,1,15,8,2021,6.94956,114,1.3333,3,5.56811,1.07545,1: No necessary in-game text,1524,28,5,19,
347080,boardgameexpansion,Kohaku: Sundials Expansion,2,4,45,10,2021,8.24758,33,1.0,1,5.53781,1.15339,1: No necessary in-game text,242,1,17,57,
347102,boardgameexpansion,Star Wars: Outer Rim – Unfinished Business,1,4,180,14,2022,8.56416,2758,2.7955,44,7.08058,1.01579,4: Extensive use of text - massive conversion needed to be playable,11266,35,184,1037,
347140,boardgameexpansion,Dinner in Paris: Battle of the Chefs,2,4,50,10,2021,7.56061,33,2.0,1,5.52678,1.04271,2: Some necessary text - easily memorized or small crib sheet,245,0,7,38,
347147,boardgameexpansion,Arkham Horror: The Card Game – Machinations Through Time: Scenario Pack,1,2,120,14,2022,8.13878,352,4.125,8,5.80807,1.40659,1: No necessary in-game text,4949,13,60,267,
347148,boardgameexpansion,Arkham Horror: The Card Game – The Dunwich Legacy: Investigator Expansion,1,4,120,14,2022,8.67912,862,3.6667,12,6.27716,1.11074,5: Unplayable in another language,6564,30,60,328,
347149,boardgameexpansion,Arkham Horror: The Card Game – The Dunwich Legacy: Campaign Expansion,1,4,120,14,2022,8.52358,1289,3.64,25,6.4992,1.10864,5: Unplayable in another language,7688,30,80,374,
347151,boardgameexpansion,Hanamikoji: Mini Expansion #2,2,2,15,10,2021,7.82263,57,2.0,1,5.55167,1.36071,1: No necessary in-game text,617,1,20,42,
347152,boardgameexpansion,Hanamikoji: Mini Expansion #3,2,2,15,10,2021,7.6978,50,2.0,1,5.54202,1.36575,1: No necessary in-game text,618,1,17,37,
347153,boardgameexpansion,Hanamikoji: Mini Expansion #4,2,2,15,10,2021,7.79327,49,2.0,1,5.54312,1.27288,1: No necessary in-game text,615,1,16,38,
347154,boardgameexpansion,Hanamikoji: Mini Expansion #5,2,2,15,10,2021,7.53348,46,2.0,1,5.53495,1.4346,1: No necessary in-game text,613,2,16,38,
347155,boardgameexpansion,Hanamikoji: Mini Expansion #6,2,2,15,10,2021,7.4828,50,2.0,1,5.53733,1.45271,1: No necessary in-game text,610,2,19,40,
347156,boardgameexpansion,Hanamikoji: Mini Expansion #7,2,2,15,10,2021,7.86,49,2.0,1,5.54454,1.30487,1: No necessary in-game text,612,2,18,42,
347307,boardgameexpansion,Dominion: Allies,2,4,60,14,2022,8.21621,615,2.25,12,6.04901,1.3049,3: Moderate in-game text - needs crib sheet or paste ups,3034,16,101,518,
347401,boardgameexpansion,Alakazum! 2,2,5,40,10,2021,7.95641,39,2.0,2,5.52953,1.50142,1: No necessary in-game text,163,1,2,10,
347812,boardgameexpansion,Marvel Champions: The Card Game – The Vision Hero Pack,1,4,90,14,2022,7.97848,624,2.8,5,5.99683,1.14624,4: Extensive use of text - massive conversion needed to be playable,6441,18,60,270,
347813,boardgameexpansion,Marvel Champions: The Card Game – Sinister Motives,1,4,90,14,2022,8.66163,1107,2.8421,19,6.46487,1.04268,4: Extensive use of text - massive conversion needed to be playable,8912,26,135,490,
347869,boardgameexpansion,Clinic: Deluxe Edition – 5th Extension,1,4,150,14,2022,7.72059,68,3.0,2,5.55947,1.47873,1: No necessary in-game text,1402,18,25,59,
347976,boardgameexpansion,Thunder Road: Vendetta – Choppe Shoppe,2,4,75,7,2023,8.38055,428,2.0,3,5.93727,1.12145,1: No necessary in-game text,2733,11,86,235,
347977,boardgameexpansion,Thunder Road: Vendetta – Big Rig and the Final Five,2,5,75,7,2023,8.04927,356,2.3333,3,5.8276,1.27668,1: No necessary in-game text,2433,13,63,207,
347978,boardgameexpansion,Thunder Road: Vendetta – Carnage at Devil's Run,2,4,75,7,2023,8.51722,353,1.3333,3,5.89024,1.08384,1: No necessary in-game text,2323,10,73,243,
348091,boardgameexpansion,Massive Darkness 2: Zombicide Fantasy Crossover Pack,1,6,180,14,2021,8.1243,107,3.0,1,5.59391,1.48763,5: Unplayable in another language,1358,12,28,66,
348331,boardgameexpansion,Pictures: Orange,3,6,30,14,2021,7.61195,286,1.0,6,5.73408,1.09254,1: No necessary in-game text,1196,2,20,91,
348334,boardgameexpansion,Friedrich de Luxe Expansion,3,4,210,12,2021,8.40278,36,3.0,1,5.54187,0.880494,3: Moderate in-game text - needs crib sheet or paste ups,225,3,11,42,
348353,boardgameexpansion,Summoner Wars (Second Edition): The Skyspear Avians Faction Deck,2,2,60,7,2022,8.4738,187,2.3333,3,5.6973,1.24986,1: No necessary in-game text,1550,11,27,84,
348354,boardgameexpansion,Summoner Wars (Second Edition): Cloaks Faction Deck,2,2,60,7,2022,8.46015,197,3.0,2,5.70765,1.32992,1: No necessary in-game text,1539,11,28,100,
348601,boardgameexpansion,7 Wonders Duel: Agora – Tu Quoque Fili Promo Card,2,2,30,10,2021,7.98462,52,3.0,1,5.54048,1.45792,1: No necessary in-game text,511,25,49,141,
348768,boardgameexpansion,Tides: Fun in the Sun,1,2,20,8,2021,6.82195,41,1.0,1,5.52173,1.15917,2: Some necessary text - easily memorized or small crib sheet,662,12,1,11,
348997,boardgameexpansion,Paint the Roses: Escape the Castle,2,5,60,11,2022,7.5153,126,3.0,1,5.59895,1.15051,1: No necessary in-game text,1235,6,13,48,
349053,boardgameexpansion,Furnace: Alfred Nobel Promo Card,2,4,60,12,2021,7.41026,78,2.25,4,5.55433,1.30272,3: Moderate in-game text - needs crib sheet or paste ups,805,28,43,71,
349062,boardgameexpansion,Citadels: Scenic Route Mini Expansion,2,8,60,10,2021,7.52238,42,2.0,1,5.5332,1.64319,1: No necessary in-game text,450,9,35,109,
349072,boardgameexpansion,Unstable Unicorns:  Nightmares Expansion Pack,2,8,60,14,2021,7.4122,123,2.0,1,5.57264,1.45561,1: No necessary in-game text,1269,2,7,156,
349092,boardgameexpansion,Lost Ruins of Arnak: Solo Mini Expansions,1,1,120,12,2021,7.97783,106,2.4,5,5.5943,1.82728,1: No necessary in-game text,648,0,74,233,
349155,boardgameexpansion,Rolling Realms: Terra Mystica Promo Pack,1,6,30,14,2021,7.29782,211,2.5,2,5.64354,1.31507,1: No necessary in-game text,2011,19,17,49,
349162,boardgameexpansion,Carcassonne: The Gifts,2,5,45,7,2021,7.24062,96,2.0,1,5.557,1.3692,1: No necessary in-game text,1011,14,15,89,
